,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0
2020-03-31,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,12.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,16.0
2020-04-02,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,18.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,2.0,7.0,1.0,0.0,0.0,1.0,22.0
2020-04-04,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,2.0,2.0,9.0,1.0,0.0,0.0,2.0,27.0
2020-04-05,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,3.0,2.0,13.0,1.0,1.0,0.0,2.0,34.0
2020-04-06,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,4.0,2.0,14.0,1.0,2.0,0.0,2.0,37.0
2020-04-07,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,2.0,5.0,2.0,14.0,2.0,2.0,0.0,2.0,43.0
2020-04-08,0.0,0.0,1.0,0.0,0.0,2.0,14.0,0.0,2.0,5.0,2.0,15.0,2.0,2.0,0.0,3.0,48.0
2020-04-09,0.0,0.0,1.0,0.0,0.0,2.0,21.0,0.0,2.0,6.0,2.0,16.0,2.0,2.0,0.0,3.0,57.0
2020-04-10,0.0,0.0,1.0,0.0,0.0,2.0,29.0,0.0,2.0,6.0,2.0,16.0,2.0,2.0,0.0,3.0,65.0
2020-04-11,0.0,0.0,1.0,0.0,0.0,2.0,32.0,0.0,3.0,6.0,2.0,17.0,2.0,5.0,0.0,3.0,73.0
2020-04-12,1.0,0.0,1.0,0.0,0.0,2.0,35.0,0.0,3.0,7.0,2.0,17.0,3.0,5.0,0.0,4.0,80.0
2020-04-13,1.0,0.0,1.0,0.0,0.0,2.0,36.0,0.0,3.0,7.0,2.0,17.0,3.0,5.0,0.0,5.0,82.0
2020-04-14,1.0,0.0,1.0,0.0,0.0,2.0,40.0,0.0,4.0,8.0,2.0,20.0,3.0,5.0,0.0,6.0,92.0
2020-04-15,1.0,0.0,1.0,0.0,0.0,2.0,41.0,0.0,4.0,8.0,2.0,21.0,3.0,5.0,0.0,6.0,94.0
2020-04-16,1.0,0.0,1.0,0.0,0.0,4.0,48.0,0.0,4.0,10.0,2.0,21.0,3.0,5.0,0.0,6.0,105.0
2020-04-17,2.0,0.0,1.0,0.0,0.0,4.0,51.0,0.0,7.0,11.0,3.0,22.0,3.0,6.0,0.0,6.0,116.0
2020-04-18,2.0,0.0,1.0,0.0,0.0,4.0,58.0,0.0,8.0,12.0,3.0,23.0,3.0,6.0,0.0,6.0,126.0
2020-04-19,2.0,0.0,1.0,0.0,0.0,5.0,63.0,0.0,8.0,13.0,3.0,23.0,3.0,6.0,0.0,6.0,133.0
2020-04-20,2.0,0.0,1.0,0.0,0.0,5.0,67.0,0.0,10.0,13.0,3.0,23.0,3.0,6.0,0.0,6.0,139.0
2020-04-21,2.0,0.0,1.0,0.0,0.0,6.0,69.0,1.0,10.0,13.0,4.0,25.0,3.0,6.0,0.0,7.0,147.0
2020-04-22,2.0,0.0,2.0,0.0,0.0,7.0,78.0,1.0,10.0,13.0,5.0,26.0,3.0,6.0,0.0,7.0,160.0
2020-04-23,2.0,0.0,2.0,0.0,0.0,7.0,85.0,1.0,10.0,13.0,5.0,26.0,3.0,7.0,0.0,7.0,168.0
2020-04-24,3.0,0.0,2.0,0.0,0.0,8.0,86.0,1.0,10.0,14.0,5.0,26.0,3.0,8.0,0.0,8.0,174.0
2020-04-25,3.0,1.0,3.0,0.0,0.0,9.0,89.0,1.0,10.0,14.0,5.0,27.0,3.0,8.0,0.0,8.0,181.0
2020-04-26,3.0,1.0,4.0,0.0,0.0,9.0,91.0,1.0,11.0,14.0,6.0,29.0,3.0,8.0,0.0,9.0,189.0
2020-04-27,3.0,1.0,4.0,0.0,0.0,9.0,95.0,1.0,12.0,14.0,6.0,32.0,3.0,8.0,0.0,10.0,198.0
2020-04-28,3.0,1.0,4.0,0.0,0.0,10.0,100.0,1.0,12.0,14.0,7.0,32.0,4.0,9.0,0.0,10.0,207.0
2020-04-29,4.0,1.0,4.0,0.0,0.0,12.0,104.0,1.0,13.0,14.0,7.0,32.0,4.0,9.0,0.0,11.0,216.0
2020-04-30,4.0,1.0,5.0,0.0,0.0,12.0,110.0,1.0,13.0,14.0,7.0,35.0,4.0,10.0,0.0,11.0,227.0
2020-05-01,4.0,1.0,7.0,0.0,0.0,12.0,114.0,1.0,13.0,14.0,7.0,36.0,4.0,10.0,0.0,11.0,234.0
2020-05-02,4.0,1.0,7.0,0.0,0.0,13.0,122.0,3.0,13.0,16.0,7.0,36.0,4.0,10.0,0.0,11.0,247.0
2020-05-03,4.0,1.0,7.0,0.0,0.0,13.0,135.0,3.0,13.0,16.0,7.0,36.0,4.0,10.0,0.0,11.0,260.0
2020-05-04,4.0,1.0,7.0,0.0,0.0,13.0,143.0,3.0,13.0,17.0,8.0,36.0,4.0,10.0,0.0,11.0,270.0
2020-05-05,4.0,1.0,7.0,0.0,0.0,15.0,146.0,3.0,13.0,17.0,8.0,36.0,4.0,10.0,0.0,11.0,275.0
2020-05-06,5.0,1.0,7.0,0.0,0.0,16.0,150.0,3.0,13.0,17.0,8.0,36.0,4.0,10.0,0.0,11.0,281.0
2020-05-07,6.0,1.0,7.0,0.0,0.0,17.0,152.0,3.0,13.0,17.0,8.0,36.0,4.0,10.0,0.0,11.0,285.0
2020-05-08,6.0,1.0,9.0,0.0,0.0,18.0,157.0,3.0,13.0,18.0,8.0,36.0,4.0,10.0,0.0,11.0,294.0
2020-05-09,6.0,1.0,10.0,0.0,0.0,19.0,163.0,3.0,14.0,18.0,8.0,36.0,5.0,10.0,0.0,11.0,304.0
2020-05-10,6.0,1.0,10.0,0.0,1.0,20.0,166.0,3.0,14.0,18.0,8.0,37.0,5.0,10.0,0.0,13.0,312.0
2020-05-11,7.0,1.0,10.0,0.0,1.0,21.0,172.0,4.0,14.0,18.0,8.0,38.0,5.0,10.0,0.0,14.0,323.0
2020-05-12,7.0,1.0,10.0,0.0,1.0,23.0,178.0,4.0,14.0,19.0,9.0,39.0,5.0,11.0,0.0,14.0,335.0
